feature,target,mean,median,mean_abs,p25,p75,sign_consistency,n_anchors,by_year,by_regime,label,flags,nonlinear_oof_r2
inst_accel,score,-0.009,-0.007,0.044,-0.044,0.023,0.58,100,"{""2014"": -0.003, ""2015"": -0.027, ""2016"": 0.0, ""2017"": -0.018, ""2018"": -0.01, ""2019"": -0.003, ""2020"": -0.039, ""2021"": 0.02, ""2022"": -0.015, ""2023"": -0.023, ""2024"": 0.017, ""2025"": -0.011, ""2026"": 0.001}","{""normal"": -0.009, ""weak"": -0.012}",LOW_OBSERVED_OVERLAP,,
inst_accel,rev_rank,-0.012,-0.019,0.049,-0.052,0.037,0.62,100,"{""2014"": -0.013, ""2015"": -0.04, ""2016"": -0.003, ""2017"": -0.016, ""2018"": -0.001, ""2019"": -0.009, ""2020"": -0.038, ""2021"": 0.023, ""2022"": -0.018, ""2023"": -0.033, ""2024"": 0.023, ""2025"": -0.01, ""2026"": -0.004}","{""normal"": -0.013, ""weak"": -0.008}",LOW_OBSERVED_OVERLAP,,-0.0002
inst_accel,fp,0.107,0.112,0.115,0.068,0.156,0.92,100,"{""2014"": 0.102, ""2015"": 0.114, ""2016"": 0.045, ""2017"": 0.098, ""2018"": 0.063, ""2019"": 0.163, ""2020"": 0.093, ""2021"": 0.087, ""2022"": 0.112, ""2023"": 0.126, ""2024"": 0.09, ""2025"": 0.115, ""2026"": 0.183}","{""normal"": 0.115, ""weak"": 0.083}",LOW_OBSERVED_OVERLAP,,0.0112
inst_accel,chip,-0.059,-0.057,0.063,-0.09,-0.013,0.861,79,"{""2016"": -0.109, ""2017"": -0.084, ""2018"": -0.066, ""2019"": -0.064, ""2020"": -0.067, ""2021"": -0.049, ""2022"": -0.053, ""2023"": -0.041, ""2024"": -0.048, ""2025"": -0.058, ""2026"": -0.051}","{""normal"": -0.051, ""weak"": -0.083}",LOW_OBSERVED_OVERLAP,,0.0025
inst_accel,tilt,0.022,0.025,0.067,-0.029,0.078,0.6,100,"{""2014"": 0.102, ""2015"": 0.114, ""2016"": 0.029, ""2017"": -0.011, ""2018"": -0.027, ""2019"": 0.014, ""2020"": -0.016, ""2021"": 0.0, ""2022"": 0.006, ""2023"": 0.023, ""2024"": 0.006, ""2025"": 0.005, ""2026"": 0.044}","{""normal"": 0.03, ""weak"": 0.001}",LOW_OBSERVED_OVERLAP,,0.0001
inst_accel,size,-0.013,-0.019,0.092,-0.096,0.071,0.57,100,"{""2014"": -0.044, ""2015"": -0.016, ""2016"": -0.081, ""2017"": -0.086, ""2018"": -0.016, ""2019"": 0.034, ""2020"": 0.006, ""2021"": 0.03, ""2022"": -0.019, ""2023"": 0.008, ""2024"": -0.03, ""2025"": 0.012, ""2026"": 0.028}","{""normal"": -0.01, ""weak"": -0.022}",LOW_OBSERVED_OVERLAP,,
inst_accel,liquidity,-0.028,-0.036,0.072,-0.09,0.029,0.64,100,"{""2014"": -0.03, ""2015"": -0.085, ""2016"": -0.059, ""2017"": -0.086, ""2018"": -0.004, ""2019"": -0.044, ""2020"": 0.001, ""2021"": 0.029, ""2022"": -0.007, ""2023"": -0.07, ""2024"": 0.003, ""2025"": -0.003, ""2026"": -0.017}","{""normal"": -0.033, ""weak"": -0.013}",LOW_OBSERVED_OVERLAP,,
inst_accel,volatility,-0.018,-0.024,0.091,-0.087,0.049,0.59,100,"{""2014"": 0.006, ""2015"": -0.061, ""2016"": 0.011, ""2017"": 0.006, ""2018"": 0.006, ""2019"": -0.049, ""2020"": -0.012, ""2021"": 0.005, ""2022"": -0.003, ""2023"": -0.078, ""2024"": 0.01, ""2025"": -0.011, ""2026"": -0.08}","{""normal"": -0.026, ""weak"": 0.002}",LOW_OBSERVED_OVERLAP,,
inst_accel,turnover_rate,-0.02,-0.019,0.131,-0.149,0.068,0.57,100,"{""2014"": 0.027, ""2015"": -0.075, ""2016"": 0.007, ""2017"": 0.015, ""2018"": 0.018, ""2019"": -0.105, ""2020"": -0.014, ""2021"": 0.032, ""2022"": 0.005, ""2023"": -0.122, ""2024"": 0.033, ""2025"": -0.023, ""2026"": -0.052}","{""normal"": -0.036, ""weak"": 0.028}",LOW_OBSERVED_OVERLAP,,
consensus_20,score,0.055,0.054,0.057,0.028,0.077,0.95,100,"{""2014"": 0.047, ""2015"": 0.042, ""2016"": 0.028, ""2017"": 0.046, ""2018"": 0.064, ""2019"": 0.049, ""2020"": 0.05, ""2021"": 0.037, ""2022"": 0.031, ""2023"": 0.084, ""2024"": 0.066, ""2025"": 0.087, ""2026"": 0.057}","{""normal"": 0.058, ""weak"": 0.045}",LOW_OBSERVED_OVERLAP,,
